,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
115,33088,233173,108,10048,64350,99,8972,61764,104,6770,40983,94,6558,44059,99,1999,9033,70,1626,10070,99,324,2312,106,431,3084,108,205,1485,110,2654,18230,107,2195,16369,112,2047
116,29872,175938,87,5735,31772,82,7518,37274,74,5820,25967,67,4763,25128,89,1511,6810,63,1808,8135,64,523,3473,99,486,3147,93,266,1763,98,2011,9402,63,2186,10265,64,2059
117,32704,174949,78,6604,30605,66,6991,33603,70,4897,22486,65,4614,20189,70,969,3022,44,1821,8991,73,294,1689,83,447,2524,81,227,1293,81,2010,9040,64,2298,10463,65,2086
118,33280,209169,94,5250,30151,86,6106,31835,79,4275,17836,65,3747,20229,71,1941,5935,35,2740,12847,67,734,4632,92,744,4668,91,334,2129,91,1512,7725,73,1812,9448,76,2094
119,27808,179657,95,4132,25745,90,7500,37201,65,4260,20753,63,4700,25517,74,2108,10556,81,1835,8399,68,260,1608,85,397,2240,79,201,1111,77,4353,25356,87,3612,20950,84,2121
120,28544,304636,170,13936,101653,103,14976,94770,91,9426,57820,80,9372,69707,115,1930,14865,148,3034,16154,77,520,4011,114,700,5117,106,342,2554,107,6888,49440,103,6133,45564,114,2149
121,27232,187165,104,4791,26439,81,5874,32212,82,4039,19036,73,4025,19849,72,1139,4916,60,2152,11999,82,219,1598,110,401,2786,100,209,1425,101,1636,8869,79,1609,8709,79,2154
122,29984,242560,127,4559,26035,81,2400,12838,74,2637,12757,77,3286,14383,54,1094,4758,65,116,454,47,113,641,85,85,463,83,67,320,65,2195,14738,103,2282,14679,96,2158
123,27488,180716,100,5538,28950,76,6937,35755,75,4760,24896,75,4369,22415,82,939,3707,58,2964,13698,62,294,1992,99,530,3484,92,275,1761,92,1679,8586,74,1867,9767,73,2176
124,42368,280618,100,12376,73272,88,10616,57293,77,6806,38960,94,7093,46779,88,2399,13310,74,2291,12472,80,955,6307,95,793,4994,90,399,2470,88,2877,16139,82,3585,18968,77,2188
125,37296,243619,99,6512,34003,76,6976,41914,89,4283,28023,105,4780,23509,62,2078,6603,26,2155,10862,75,294,1996,102,386,2578,97,195,1302,101,1772,10752,91,1855,10543,84,2199
126,28048,189893,104,13568,77279,84,8423,45693,84,5487,30899,89,4647,27519,89,1738,6655,64,2548,14351,86,530,3332,92,688,4363,93,343,2123,91,2175,12533,84,2110,12069,85,2201
127,28784,155209,80,4778,22966,69,4751,19538,59,2945,11427,46,4924,18056,40,1035,2601,23,1811,8886,73,209,1144,77,356,2021,80,190,1048,76,1251,6039,69,1419,6732,68,2222
128,31552,261717,131,4218,29832,108,8561,53084,97,5617,36224,102,7244,36738,72,1736,8627,79,1945,10846,85,422,3024,104,442,2988,98,217,1452,98,3853,25092,95,3349,22484,102,2227
129,27440,160091,88,4731,24555,77,3676,17099,67,1754,7749,62,4191,11542,32,829,3109,31,748,2961,54,117,657,78,189,1087,78,103,526,75,1059,4920,68,950,4420,69,2235
130,28768,156308,80,3299,16356,73,4634,21226,66,2711,12481,63,2872,11576,54,851,3851,80,2241,12790,90,242,1573,95,412,2774,98,212,1394,99,1243,5694,67,1569,7063,61,2240
131,37616,254770,103,11783,65280,81,5680,32658,81,5033,25837,81,7689,35070,58,1932,8524,66,183,846,78,172,1090,91,72,454,93,32,197,98,11478,59203,75,10214,52616,75,2246
132,33936,171692,74,4253,19452,66,4566,20562,62,2709,12521,74,3471,14058,59,663,2494,41,936,3560,48,119,656,78,149,841,85,72,384,75,1796,7665,59,1440,6393,63,2256
133,31824,190885,88,5911,32651,81,1889,8406,63,1155,4125,48,1799,7687,50,881,1772,28,15,39,88,39,224,87,15,68,191,11,36,318,2612,12803,69,2014,9857,69,2275
134,27488,196178,110,7583,44681,88,5673,33856,90,4176,25445,97,4344,26457,99,1054,5228,66,2460,12044,68,207,1394,101,389,2493,92,205,1313,92,1721,10843,93,1867,11437,91,2287
135,31152,173458,81,7384,38091,75,3476,17118,73,2025,9124,74,2658,10142,53,1277,3467,24,1425,7337,81,208,1334,92,316,1981,90,153,915,89,876,4392,68,921,4472,69,2287
